trade_id,transaction_time,account_number,cusip,activity,quantity,price
TDB_00600000,2024-04-19 18:27:31,TDB_CUST_5179226,MSFT,SELL,711,1638.93
TDB_00600001,2024-09-29 21:33:48,TDB_CUST_8414462,NFLX,BUY,931,1789.75
TDB_00600002,2024-05-02 21:09:58,TDB_CUST_6696238,CSCO,BUY,693,1034.68
TDB_00600003,2024-08-07 12:24:21,TDB_CUST_3596172,VZ,SELL,331,1360.46
TDB_00600004,2024-03-14 08:08:14,TDB_CUST_2451744,NFLX,BUY,351,418.87
TDB_00600005,2024-01-31 08:27:48,TDB_CUST_1992834,TSLA,SELL,875,199.27
TDB_00600006,2024-02-28 22:24:58,TDB_CUST_6784557,BAC,SELL,263,294.39
TDB_00600007,2024-09-01 04:35:30,TDB_CUST_2370622,VZ,BUY,353,1977.80
TDB_00600008,2024-09-12 10:49:32,TDB_CUST_1729881,VISA,BUY,912,685.33
TDB_00600009,2024-02-22 22:40:46,TDB_CUST_2909752,MA,BUY,609,641.25
TDB_00600010,2024-08-20 22:19:09,TDB_CUST_7683145,MSFT,BUY,417,522.93
TDB_00600011,2024-01-25 21:46:03,TDB_CUST_2469881,PYPL,BUY,961,648.97
TDB_00600012,2024-04-20 18:05:14,TDB_CUST_5043058,XOM,BUY,735,314.33
TDB_00600013,2024-03-20 14:27:52,TDB_CUST_1806502,MA,BUY,543,214.62
TDB_00600014,2024-09-16 08:07:52,TDB_CUST_6385421,WMT,BUY,899,1718.77
TDB_00600015,2024-08-31 05:28:04,TDB_CUST_6034052,FB,SELL,366,763.00
TDB_00600016,2024-05-19 16:59:47,TDB_CUST_2052418,XOM,BUY,304,940.55
TDB_00600017,2024-04-05 04:00:41,TDB_CUST_6059903,NFLX,SELL,186,1483.23
TDB_00600018,2024-08-02 01:36:04,TDB_CUST_3617639,AMZN,SELL,208,1552.44
TDB_00600019,2024-04-09 17:19:49,TDB_CUST_5196651,JPM,SELL,201,474.20
TDB_00600020,2024-05-28 16:55:23,TDB_CUST_8212112,ORCL,BUY,568,1276.24
TDB_00600021,2024-09-15 12:11:03,TDB_CUST_2258204,TSLA,BUY,289,309.93
TDB_00600022,2024-03-05 15:15:51,TDB_CUST_9428493,AAPL,BUY,892,872.91
TDB_00600023,2024-01-14 18:38:55,TDB_CUST_9996864,AAPL,SELL,833,330.84
TDB_00600024,2024-03-26 05:15:52,TDB_CUST_3410835,NFLX,BUY,610,1436.44
TDB_00600025,2024-06-29 06:08:41,TDB_CUST_3345992,WMT,BUY,464,775.48
TDB_00600026,2024-03-31 16:42:41,TDB_CUST_5691587,WMT,BUY,557,1742.68
TDB_00600027,2024-09-18 09:33:25,TDB_CUST_6133427,ORCL,BUY,619,1560.81
TDB_00600028,2024-06-23 04:38:09,TDB_CUST_2904666,BAC,SELL,839,1769.78
TDB_00600029,2024-04-25 19:54:21,TDB_CUST_8319095,MSFT,BUY,135,368.76
TDB_00600030,2024-06-05 09:41:36,TDB_CUST_2019242,NVDA,SELL,894,1342.41
TDB_00600031,2024-02-22 11:20:37,TDB_CUST_9806273,NFLX,BUY,621,1540.59
TDB_00600032,2024-08-14 20:18:28,TDB_CUST_3595427,CSCO,SELL,648,1583.30
TDB_00600033,2024-01-12 19:22:58,TDB_CUST_4401481,GOOGL,SELL,661,471.84
TDB_00600034,2024-02-14 00:42:22,TDB_CUST_1625245,AMZN,BUY,250,1575.20
TDB_00600035,2024-04-14 02:54:29,TDB_CUST_5368530,MSFT,SELL,279,1079.79
TDB_00600036,2024-03-27 03:10:05,TDB_CUST_7065514,TSLA,BUY,539,121.60
TDB_00600037,2024-06-01 00:12:35,TDB_CUST_2170645,CRM,SELL,526,1647.56
TDB_00600038,2024-09-14 22:18:57,TDB_CUST_9813213,INTC,SELL,437,442.38
TDB_00600039,2024-06-28 17:52:45,TDB_CUST_6286244,PYPL,BUY,743,1217.46
TDB_00600040,2024-03-13 02:51:17,TDB_CUST_7302056,ORCL,SELL,185,1983.09
TDB_00600041,2024-03-06 22:49:45,TDB_CUST_3760354,AMZN,BUY,492,163.17
TDB_00600042,2024-01-26 01:25:35,TDB_CUST_2525525,ORCL,BUY,138,893.09
TDB_00600043,2024-07-22 02:33:17,TDB_CUST_9837986,PFE,BUY,874,743.34
TDB_00600044,2024-02-07 19:34:27,TDB_CUST_7948620,ADBE,BUY,758,930.83
TDB_00600045,2024-03-20 04:08:50,TDB_CUST_6659969,T,BUY,573,1613.03
TDB_00600046,2024-07-21 07:30:12,TDB_CUST_4292301,DIS,SELL,158,729.27
TDB_00600047,2024-09-17 21:04:42,TDB_CUST_7203100,ADBE,BUY,726,925.69
TDB_00600048,2024-06-11 23:39:32,TDB_CUST_7308588,CSCO,SELL,685,1933.63
TDB_00600049,2024-09-15 07:28:16,TDB_CUST_7623689,UNH,BUY,449,1198.73
